# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Standard Edition
# File: Y:\de1_soc_traning\lab\Advanced_Demo\demo1_axi\hardware\DE1_SOC_golden_top.csv
# Generated on: Fri May 11 17:13:11 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HPS_DDR3_DQS_P[2],Bidir,,,,PIN_R19,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2],,,,,,,,,
HPS_DDR3_DQS_P[1],Bidir,,,,PIN_N25,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1],,,,,,,,,
HPS_DDR3_DQS_P[0],Bidir,,,,PIN_N18,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,,
HPS_DDR3_ODT,Output,,,,PIN_H28,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RAS_N,Output,,,,PIN_D30,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RESET_N,Output,,,,PIN_P30,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RZQ,Input,,,,PIN_D27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_WE_N,Output,,,,PIN_C28,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_ENET_GTX_CLK,Output,,,,PIN_H19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_INT_N,Bidir,,,,PIN_C19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDC,Output,,,,PIN_B21,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDIO,Bidir,,,,PIN_E21,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_CLK,Input,,,,PIN_G20,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Input,,,,PIN_D21,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],Input,,,,PIN_B18,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],Input,,,,PIN_B20,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],Input,,,,PIN_A21,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DV,Input,,,,PIN_K17,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],Output,,,,PIN_F19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],Output,,,,PIN_F21,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],Output,,,,PIN_J19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],Output,,,,PIN_F20,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_EN,Output,,,,PIN_A20,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DATA[3],Bidir,,,,PIN_E19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DATA[2],Bidir,,,,PIN_A19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DATA[1],Bidir,,,,PIN_H18,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DATA[0],Bidir,,,,PIN_C20,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_DCLK,Output,,,,PIN_D19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_FLASH_NCSO,Output,,,,PIN_A18,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GPIO[1],Bidir,,,,PIN_C18,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GPIO[0],Bidir,,,,PIN_H17,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GSENSOR_INT,Bidir,,,,PIN_B22,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SCLK,Bidir,,,,PIN_E23,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SDAT,Bidir,,,,PIN_C24,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C2_SCLK,Bidir,,,,PIN_H23,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C2_SDAT,Bidir,,,,PIN_A25,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C_CONTROL,Bidir,,,,PIN_B26,3.3-V LVTTL,,,,,,,,,,,,,
HPS_KEY,Bidir,,,,PIN_G21,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LED,Bidir,,,,PIN_A24,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CLK,Output,,,,PIN_A16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CMD,Bidir,,,,PIN_F18,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[3],Bidir,,,,PIN_B16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[2],Bidir,,,,PIN_D17,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[1],Bidir,,,,PIN_C17,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[0],Bidir,,,,PIN_G18,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_CLK,Output,,,,PIN_C23,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MISO,Input,,,,PIN_E24,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MOSI,Output,,,,PIN_D22,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_SS,Bidir,,,,PIN_D24,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_RX,Input,,,,PIN_B25,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_TX,Output,,,,PIN_C25,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_CLKOUT,Input,,,,PIN_N16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[7],Bidir,,,,PIN_M17,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[6],Bidir,,,,PIN_D15,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[5],Bidir,,,,PIN_C14,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[4],Bidir,,,,PIN_A15,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[3],Bidir,,,,PIN_D14,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[2],Bidir,,,,PIN_D16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[1],Bidir,,,,PIN_G16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[0],Bidir,,,,PIN_E16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DIR,Input,,,,PIN_E14,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_NXT,Input,,,,PIN_A14,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_STP,Output,,,,PIN_C15,3.3-V LVTTL,,,,,,,,,,,,,
IRDA_RXD,Input,,,,PIN_B3,3.3-V LVTTL,,,,,,,,,,,,,
IRDA_TXD,Output,,,,PIN_F11,3.3-V LVTTL,,,,,,,,,,,,,
KEY[3],Input,PIN_AA15,3B,B3B_N0,PIN_AA15,3.3-V LVTTL,,,,,,,,,,,,,
KEY[2],Input,PIN_AA14,3B,B3B_N0,PIN_AA14,3.3-V LVTTL,,,,,,,,,,,,,
KEY[1],Input,PIN_AK4,3B,B3B_N0,PIN_AK4,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],Input,PIN_AJ4,3B,B3B_N0,PIN_AJ4,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[9],Output,,,,PIN_F15,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[8],Output,,,,PIN_A4,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[7],Output,,,,PIN_D2,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[6],Output,,,,PIN_AA28,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[5],Output,,,,PIN_AB22,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[4],Output,,,,PIN_D7,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[3],Output,,,,PIN_AB17,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[2],Output,,,,PIN_K8,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[1],Output,,,,PIN_K12,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[0],Output,,,,PIN_AE24,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK,Bidir,PIN_AB25,5A,B5A_N0,PIN_AB25,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK2,Bidir,PIN_AC25,5A,B5A_N0,PIN_AC25,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT,Bidir,PIN_AA25,5A,B5A_N0,PIN_AA25,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT2,Bidir,PIN_AB26,5A,B5A_N0,PIN_AB26,3.3-V LVTTL,,,,,,,,,,,,,
SW[9],Input,PIN_AA30,5B,B5B_N0,PIN_AA30,3.3-V LVTTL,,,,,,,,,,,,,
SW[8],Input,PIN_AC29,5B,B5B_N0,PIN_AC29,3.3-V LVTTL,,,,,,,,,,,,,
SW[7],Input,PIN_AD30,5B,B5B_N0,PIN_AD30,3.3-V LVTTL,,,,,,,,,,,,,
SW[6],Input,PIN_AC28,5B,B5B_N0,PIN_AC28,3.3-V LVTTL,,,,,,,,,,,,,
SW[5],Input,PIN_V25,5B,B5B_N0,PIN_V25,3.3-V LVTTL,,,,,,,,,,,,,
SW[4],Input,PIN_W25,5B,B5B_N0,PIN_W25,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],Input,PIN_AC30,5B,B5B_N0,PIN_AC30,3.3-V LVTTL,,,,,,,,,,,,,
SW[2],Input,PIN_AB28,5B,B5B_N0,PIN_AB28,3.3-V LVTTL,,,,,,,,,,,,,
SW[1],Input,PIN_Y27,5B,B5B_N0,PIN_Y27,3.3-V LVTTL,,,,,,,,,,,,,
SW[0],Input,PIN_AB30,5B,B5B_N0,PIN_AB30,3.3-V LVTTL,,,,,,,,,,,,,
TD_CLK27,Bidir,,,,PIN_A11,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[7],Output,,,,PIN_B8,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[6],Output,,,,PIN_W16,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[5],Output,,,,PIN_C12,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[4],Output,,,,PIN_AE27,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[3],Output,,,,PIN_AH2,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[2],Output,,,,PIN_AD7,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[1],Output,,,,PIN_AH17,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[0],Output,,,,PIN_V18,3.3-V LVTTL,,,,,,,,,,,,,
TD_HS,Output,,,,PIN_AD26,3.3-V LVTTL,,,,,,,,,,,,,
TD_RESET_N,Output,,,,PIN_AB21,3.3-V LVTTL,,,,,,,,,,,,,
TD_VS,Output,,,,PIN_E12,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_CLK,Input,,,,PIN_C5,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[7],Bidir,,,,PIN_AE26,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[6],Bidir,,,,PIN_AG17,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[5],Bidir,,,,PIN_C13,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[4],Bidir,,,,PIN_D11,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[3],Bidir,,,,PIN_AE23,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[2],Bidir,,,,PIN_AF6,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[1],Bidir,,,,PIN_G8,3.3-V LVTTL,,,,,,,,,,,,,
USB_B2_DATA[0],Bidir,,,,PIN_AD24,3.3-V LVTTL,,,,,,,,,,,,,
USB_EMPTY,Output,,,,PIN_W15,3.3-V LVTTL,,,,,,,,,,,,,
USB_FULL,Output,,,,PIN_G15,3.3-V LVTTL,,,,,,,,,,,,,
USB_OE_N,Input,,,,PIN_AA18,3.3-V LVTTL,,,,,,,,,,,,,
USB_RD_N,Input,,,,PIN_F13,3.3-V LVTTL,,,,,,,,,,,,,
USB_RESET_N,Input,,,,PIN_AG21,3.3-V LVTTL,,,,,,,,,,,,,
USB_SCL,Bidir,,,,PIN_H7,3.3-V LVTTL,,,,,,,,,,,,,
USB_SDA,Bidir,,,,PIN_C7,3.3-V LVTTL,,,,,,,,,,,,,
USB_WR_N,Input,,,,PIN_E13,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[7],Output,PIN_AK16,4A,B4A_N0,PIN_AK16,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[6],Output,PIN_AJ16,4A,B4A_N0,PIN_AJ16,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[5],Output,PIN_AJ17,4A,B4A_N0,PIN_AJ17,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[4],Output,PIN_AH19,4A,B4A_N0,PIN_AH19,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[3],Output,PIN_AJ19,4A,B4A_N0,PIN_AJ19,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[2],Output,PIN_AH20,4A,B4A_N0,PIN_AH20,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[1],Output,PIN_AJ20,4A,B4A_N0,PIN_AJ20,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[0],Output,PIN_AJ21,4A,B4A_N0,PIN_AJ21,3.3-V LVTTL,,,,,,,,,,,,,
VGA_BLANK_N,Output,PIN_AK22,4A,B4A_N0,PIN_AK22,3.3-V LVTTL,,,,,,,,,,,,,
VGA_CLK,Output,PIN_AK21,4A,B4A_N0,PIN_AK21,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[7],Output,PIN_AH23,4A,B4A_N0,PIN_AH23,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[6],Output,PIN_AK23,4A,B4A_N0,PIN_AK23,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[5],Output,PIN_AH24,4A,B4A_N0,PIN_AH24,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[4],Output,PIN_AJ24,4A,B4A_N0,PIN_AJ24,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[3],Output,PIN_AK24,4A,B4A_N0,PIN_AK24,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[2],Output,PIN_AH25,4A,B4A_N0,PIN_AH25,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[1],Output,PIN_AJ25,4A,B4A_N0,PIN_AJ25,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[0],Output,PIN_AK26,4A,B4A_N0,PIN_AK26,3.3-V LVTTL,,,,,,,,,,,,,
VGA_HS,Output,PIN_AK19,4A,B4A_N0,PIN_AK19,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[7],Output,PIN_AJ26,4A,B4A_N0,PIN_AJ26,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[6],Output,PIN_AG26,4A,B4A_N0,PIN_AG26,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[5],Output,PIN_AF26,4A,B4A_N0,PIN_AF26,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[4],Output,PIN_AH27,4A,B4A_N0,PIN_AH27,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[3],Output,PIN_AJ27,4A,B4A_N0,PIN_AJ27,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[2],Output,PIN_AK27,4A,B4A_N0,PIN_AK27,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[1],Output,PIN_AK28,4A,B4A_N0,PIN_AK28,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[0],Output,PIN_AK29,4A,B4A_N0,PIN_AK29,3.3-V LVTTL,,,,,,,,,,,,,
VGA_SYNC_N,Output,PIN_AJ22,4A,B4A_N0,PIN_AJ22,3.3-V LVTTL,,,,,,,,,,,,,
VGA_VS,Output,PIN_AK18,4A,B4A_N0,PIN_AK18,3.3-V LVTTL,,,,,,,,,,,,,
altera_reserved_tck,Input,,,,PIN_AC5,,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,PIN_U8,,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,PIN_AB9,,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,PIN_V9,,,,,,,,,,,,,,
GPIO_1[22,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LTC_GPIO,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
